'MSE': 0.004099420830769635, 'transform_time': 0.006146907806396484, 'rec_time': 0.0036401748657226562, 'lam':100, 'anchor_lam':20
'MSE': 0.004177201623751476, 'transform_time': 0.005379676818847656, 'rec_time': 0.003252267837524414, 'lam':100, 'anchor_lam':30
'MSE': 0.004225799311634381, 'transform_time': 0.0062885284423828125, 'rec_time': 0.001631021499633789, 'lam':100, 'anchor_lam':100 {Lowest rec_time}
'MSE': 0.004366048299405421, 'transform_time': 0.007834434509277344, 'rec_time': 0.004712104797363281, 'lam':100, 'anchor_lam':200
'MSE': 0.004475010846535104, 'transform_time': 0.011705398559570312, 'rec_time': 0.004524946212768555, 'lam':100, 'anchor_lam':300 {Highest transform_time}
'MSE': 0.004572360672536956, 'transform_time': 0.004306316375732422, 'rec_time': 0.0041942596435546875, 'lam':10, 'anchor_lam':100
'MSE': 0.004333919294854765, 'transform_time': 0.005480051040649414, 'rec_time': 0.0031976699829101562, 'lam':50, 'anchor_lam':100 {Lowest transform_time}
'MSE': 0.004261028710569137, 'transform_time': 0.004455089569091797, 'rec_time': 0.005002737045288086, 'lam':150, 'anchor_lam':100
'MSE': 0.004186386506095185, 'transform_time': 0.010455131530761719, 'rec_time': 0.0031867027282714844, 'lam':150, 'anchor_lam':150
'MSE': 0.004200124165195567, 'transform_time': 0.007983922958374023, 'rec_time': 0.0032508373260498047, 'lam':200, 'anchor_lam':100
'MSE': 0.004162846114109402, 'transform_time': 0.008588075637817383, 'rec_time': 0.005043983459472656, 'lam':300, 'anchor_lam':100
'MSE': 0.004674135076948585, 'transform_time': 0.007575511932373047, 'rec_time': 0.003568887710571289, 'lam':100, 'anchor_lam':700 {Highest MSE}
'MSE': 0.0042308495487805315, 'transform_time': 0.006666660308837891, 'rec_time': 0.0035750865936279297, 'lam':800, 'anchor_lam':700
'MSE': 0.0040971041717567476, 'transform_time': 0.009839057922363281, 'rec_time': 0.002248525619506836, 'lam':1000, 'anchor_lam':700
'MSE': 0.004073432641433815, 'transform_time': 0.007923364639282227, 'rec_time': 0.0035619735717773438, 'lam':1000, 'anchor_lam':100 {Lowest MSE}
'MSE': 0.00407447981173621, 'transform_time': 0.003468751907348633, 'rec_time': 0.003086090087890625, 'lam':1000, 'anchor_lam':200
'MSE': 0.00411571202817674, 'transform_time': 0.008613109588623047, 'rec_time': 0.003208160400390625, 'lam':1000, 'anchor_lam':300
'MSE': 0.0041188911683054,   'transform_time': 0.004731178283691406,  'rec_time': 0.007866859436035156, 'lam':1000, 'anchor_lam':400 {Highest rec_time}
'MSE': 0.004085592368790369, 'transform_time': 0.005872249603271484, 'rec_time': 0.0020246505737304688, 'lam':1000, 'anchor_lam':500
'MSE': 0.004094928818165869, 'transform_time': 0.007290363311767578, 'rec_time': 0.0057604312896728516, 'lam':1000, 'anchor_lam':600
'MSE': 0.004130780205251993, 'transform_time': 0.004422664642333984, 'rec_time': 0.0022034645080566406, 'lam':1000, 'anchor_lam':700
'MSE': 0.004098857750812841, 'transform_time': 0.0052242279052734375, 'rec_time': 0.0021064281463623047, 'lam':1000, 'anchor_lam':800
'MSE': 0.004114313342329652, 'transform_time': 0.006174564361572266, 'rec_time': 0.003091096878051758, 'lam':1000, 'anchor_lam':900
'MSE': 0.004108124617010088, 'transform_time': 0.006570100784301758, 'rec_time': 0.00413203239440918, 'lam':1000, 'anchor_lam':1000
'MSE': 0.0042128999279690636, 'transform_time': 0.007548809051513672, 'rec_time': 0.004767417907714844, 'lam':2000, 'anchor_lam':2000
'MSE': 0.0041188911683054, 'transform_time': 0.003882884979248047, 'rec_time': 0.004770994186401367, 'lam':20000, 'anchor_lam':2000
'MSE': 0.0046469116975486145, 'transform_time': 0.009888648986816406, 'rec_time': 0.00176239013671875, 'lam':1500, 'anchor_lam':1500
'MSE': 0.004221852134971355, 'transform_time': 0.006844758987426758, 'rec_time': 0.0030260086059570312, 'lam':3000, 'anchor_lam':3000
'MSE': 0.0041834489862668835, 'transform_time': 0.008344173431396484, 'rec_time': 0.003351926803588867, 'lam':2000, 'anchor_lam':1000
'MSE': 0.004105490899152617, 'transform_time': 0.004897356033325195, 'rec_time': 0.0018000602722167969, 'lam':2000, 'anchor_lam':400
'MSE': 0.004109152531670341, 'transform_time': 0.007718563079833984, 'rec_time': 0.0032968521118164062, 'lam':2000, 'anchor_lam':200
'MSE': 0.004117380603546314, 'transform_time': 0.006274223327636719, 'rec_time': 0.003648996353149414, 'lam':100, 'anchor_lam':10
